,match_id,outcome,home_ability_score,home_attack_score,home_defend_score,home_attacking_rank,home_defending_rank,away_ability_score,away_attack_score,away_defend_score,away_attacking_rank,away_defending_rank
88,4708546,1,498.35,520.1,476.6,4271.0,4496.0,613.85,576.3,651.4,4122.0,3363.0
89,4708555,1,551.85,515.7,588.0,3824.0,3722.0,631.15,606.3,656.0,3150.0,3157.0
90,4708636,0,497.8,518.8,476.8,4691.0,4854.0,541.45,508.4,574.5,3547.0,3513.0
91,8404873,0,542.7,507.7,577.7,3695.0,3629.0,597.75,574.5,621.0,3205.0,3120.0
92,8404882,0,490.05,476.6,503.5,4322.0,4104.0,613.45,593.6,633.3,3776.0,3199.0
93,8404891,0,322.95,338.7,307.2,7263.0,7295.0,369.45,383.0,355.9,5170.0,5424.0
94,8404900,0,368.8,358.2,379.4,6325.0,6428.0,573.1,586.5,559.7,4471.0,4546.0
95,8404909,0,535.85,536.3,535.4,4935.0,4898.0,561.35,562.0,560.7,3197.0,3228.0
96,8404918,1,360.25,337.2,383.3,4992.0,5106.0,357.65,338.9,376.40000000000003,4796.0,4777.0
97,8404927,1,509.7,478.7,540.7,4377.0,4350.0,324.85,317.2,332.5,6867.0,6905.0
98,8404936,0,339.9,323.7,356.1,5066.0,5099.0,544.75,547.3,542.2,3464.0,3526.0
99,8404945,0,332.55,349.3,315.8,6978.0,7165.0,519.4,526.9,511.9,4579.0,4673.0
100,8404954,0,367.2,380.7,353.7,5223.0,5448.0,459.15,446.3,472.0,5010.0,4760.0
101,8404963,0,547.4,564.4,530.4,4807.0,4943.0,631.9,609.5,654.3000000000001,3560.0,2993.0
102,8404972,0,395.75,375.1,416.4,4986.0,5147.0,618.25,636.0,600.5,4322.0,4448.0
103,8404981,1,654.95,652.1,657.8000000000001,3020.0,3085.0,256.0,233.3,278.7,7625.0,7499.0
104,8404990,1,364.6,347.4,381.8,4680.0,4687.0,475.2,452.1,498.3,5104.0,4808.0
105,8404999,1,399.55,416.5,382.59999999999997,5133.0,5461.0,386.35,344.3,428.4,6395.0,6403.0
106,8405008,0,501.8,506.5,497.09999999999997,4363.0,4425.0,503.8,516.7,490.9,4750.0,4822.0
107,8405017,1,603.2,581.8,624.6,3719.0,3199.0,625.9,642.2,609.6,3988.0,4110.0
108,8405026,1,355.35,337.9,372.8,5561.0,5606.0,327.95,346.1,309.8,6253.0,6462.0
109,8405035,1,508.25,515.1999999999999,501.3,3711.0,3956.0,421.40000000000003,422.0,420.8,5456.0,5434.0
110,8405044,1,562.25,566.2,558.3000000000001,4186.0,4314.0,319.85,307.7,332.0,5397.0,5443.0
111,8405053,0,531.25,551.8,510.7,4551.0,4682.0,486.45,453.5,519.4,4555.0,4446.0
112,8405062,1,559.9,552.3,567.5,4359.5,4046.0,321.35,339.4,303.3,6907.0,7079.0
113,8405071,1,324.3,306.3,342.3,6417.0,6296.0,387.9,361.0,414.8,5823.0,5847.0
114,8405080,1,588.7,596.6,580.8,4576.0,4596.0,406.8,422.6,391.0,5091.0,5402.0
115,8405089,1,458.2,424.0,492.4,5402.0,5368.0,373.85,341.2,406.5,6146.5,5541.0
116,8405098,0,398.35,391.7,405.0,6080.0,5864.0,577.25,586.3,568.2,3468.0,3505.0
117,8405107,1,328.45,319.59999999999997,337.3,7362.0,7321.0,386.3,398.2,374.4,5503.0,5697.0
118,8405116,0,284.8,289.1,280.5,7048.0,7172.0,410.2,433.4,387.0,5317.0,5608.0
119,8405125,1,299.85,288.8,310.9,5743.0,5885.0,581.75,595.4,568.1,5290.0,5291.0
120,8405134,1,459.85,454.1,465.59999999999997,5342.0,5345.0,374.7,345.5,403.9,5432.0,5461.0
121,8405143,0,329.05,344.2,313.9,7100.0,7253.0,391.45,373.7,409.2,5864.0,5765.0
122,8405152,0,573.35,580.8,565.9,5128.0,5057.0,427.75,390.7,464.8,5729.0,5635.0
123,8405161,1,345.5,358.40000000000003,332.6,5574.0,5827.0,373.85,362.5,385.2,4715.0,4823.0
124,8405170,1,625.5,622.1,628.9,3384.0,3466.0,489.3,513.7,464.9,4215.0,4442.0
125,8405179,1,584.6,572.1,597.1,4794.0,4261.0,423.9,423.7,424.1,5562.0,5392.0
126,8405188,1,330.65,331.3,330.0,6816.0,6907.0,382.2,362.6,401.8,5708.0,5802.0
127,8405197,1,368.3,335.1,401.5,5871.0,5707.0,328.0,343.0,313.0,7188.0,7322.0
128,8405206,0,587.9,592.7,583.1,5036.0,4875.0,622.3000000000001,598.4,646.2,3466.0,2926.0
129,8405215,0,395.6,369.9,421.3,5475.0,5127.0,498.05,511.5,484.59999999999997,4545.0,4683.0
130,8405224,0,367.05,355.8,378.3,4835.0,4919.0,423.55,432.9,414.2,4823.0,4873.0
131,8405233,0,308.2,328.3,288.1,7334.0,7572.0,524.45,548.0,500.9,4744.0,5027.0
132,8405242,1,582.65,558.5,606.8000000000001,4420.0,3813.0,299.15,298.2,300.09999999999997,5361.0,5577.0
133,8405251,0,473.0,483.09999999999997,462.9,4760.0,4868.0,632.55,626.9,638.2,3518.0,3571.0
134,8405260,1,444.9,441.3,448.5,5011.0,4816.0,390.2,372.2,408.2,4968.0,5028.0
135,8405269,1,455.4,468.5,442.3,4968.0,5075.0,305.2,308.8,301.59999999999997,5936.0,6092.0
136,8405278,0,352.7,341.5,363.90000000000003,5243.0,5277.0,473.95,430.2,517.7,4742.0,4669.0
