,match_id,match_comp_id,match_comp_name,match_season,match_status,match_match_minute,match_venue,match_game_week,match_home_team,match_away_team,match_home_id,match_away_id,match_date,match_home_score,match_away_score,match_home_tries,match_away_tries,match_home_conversions,match_away_conversions,match_home_penalties,match_away_penalties,match_home_drop_goals,match_away_drop_goals,match_round_id,match_stage,match_updated,home_carries_crossed_gain_line,home_carries_metres,home_carries_not_made_gain_line,home_clean_breaks,home_defenders_beaten,home_offload,home_passes,home_runs,home_turnovers_conceded,home_missed_tackles,home_tackles,home_turnovers_won,home_penalties_conceded,home_red_card_second_yellow,home_red_cards,home_yellow_cards,home_conversion_goals,home_kicks_from_hand,home_missed_conversion_goals,home_missed_penalty_goals,home_penalty_goals,home_mauls_lost,home_mauls_total,home_mauls_won,home_mauls_won_penalty,home_mauls_won_try,home_rucks_lost,home_rucks_total,home_rucks_won,home_lineout_success,home_lineout_won_steal,home_lineouts_Lost,home_lineouts_won,home_scrums_lost,home_scrums_success,home_scrums_won,home_possession,home_pc_possession_first,home_pc_possession_second,home_ball_possession_last_10_mins,away_carries_crossed_gain_line,away_carries_metres,away_carries_not_made_gain_line,away_clean_breaks,away_defenders_beaten,away_offload,away_passes,away_runs,away_turnovers_conceded,away_missed_tackles,away_tackles,away_turnovers_won,away_penalties_conceded,away_red_card_second_yellow,away_red_cards,away_yellow_cards,away_conversion_goals,away_kicks_from_hand,away_missed_conversion_goals,away_missed_penalty_goals,away_penalty_goals,away_mauls_lost,away_mauls_total,away_mauls_won,away_mauls_won_penalty,away_mauls_won_try,away_rucks_lost,away_rucks_total,away_rucks_won,away_lineout_success,away_lineout_won_steal,away_lineouts_Lost,away_lineouts_won,away_scrums_lost,away_scrums_success,away_scrums_won,away_possession,away_pc_possession_first,away_pc_possession_second,away_ball_possession_last_10_mins,home_lineouts_lost,away_lineouts_lost
value,4617313,1242,Super Rugby,2013,Result,80,Allianz Stadium,3,Waratahs,Rebels,617,53,2013-03-01T08:20:00+00:00,31,26,3,2,2,2,4,4,0,0,3,Regular Season,2024-02-15T17:00:32+00:00,110.0,446.0,0.0,9.0,20.0,23.0,143.0,110.0,16.0,21.0,141.0,0.0,11.0,,0.0,1.0,2.0,17.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,72.0,69.0,0.67,0.0,4.0,8.0,1.0,0.8,4.0,0.6,0.0,0.75,,125.0,442.0,0.0,2.0,22.0,16.0,156.0,125.0,9.0,21.0,103.0,0.0,15.0,,0.0,1.0,2.0,15.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,11.0,99.0,88.0,0.69,0.0,4.0,9.0,0.0,1.0,7.0,0.4,1.0,0.25,,,
value,4617295,1242,Super Rugby,2013,Result,80,Suncorp Stadium,3,Reds,Hurricanes,767,299,2013-03-01T10:20:00+00:00,18,12,2,0,1,0,2,4,0,0,3,Regular Season,2024-02-15T17:00:27+00:00,100.0,301.0,0.0,1.0,9.0,7.0,89.0,100.0,20.0,15.0,100.0,0.0,11.0,,0.0,0.0,1.0,15.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,75.0,72.0,0.86,0.0,2.0,12.0,1.0,0.88,7.0,1.0,1.0,1.0,,92.0,260.0,0.0,5.0,15.0,8.0,108.0,92.0,16.0,8.0,122.0,0.0,14.0,,0.0,0.0,0.0,24.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,67.0,64.0,0.79,0.0,3.0,11.0,1.0,0.89,8.0,0.0,0.0,0.0,,,
value,4617304,1242,Super Rugby,2013,Result,80,Waikato Stadium,3,Chiefs,Cheetahs,290,239,2013-03-02T06:35:00+00:00,45,3,6,0,6,0,1,1,0,0,3,Regular Season,2024-02-15T16:02:38+00:00,95.0,361.0,0.0,2.0,13.0,12.0,132.0,95.0,15.0,7.0,118.0,0.0,11.0,,0.0,0.0,6.0,20.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,63.0,62.0,0.8,0.0,3.0,12.0,0.0,1.0,6.0,1.0,1.0,1.0,,95.0,293.0,0.0,1.0,7.0,5.0,161.0,95.0,21.0,12.0,104.0,0.0,9.0,,0.0,0.0,0.0,12.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,75.0,66.0,1.0,0.0,0.0,14.0,0.0,1.0,8.0,0.0,0.0,0.0,,,
value,4617322,1242,Super Rugby,2013,Result,82,Loftus Versfeld,3,Bulls,Force,308,236,2013-03-02T15:05:00+00:00,36,26,4,2,2,2,4,2,0,2,3,Regular Season,2024-02-15T16:02:44+00:00,119.0,505.0,0.0,7.0,25.0,7.0,124.0,119.0,17.0,17.0,93.0,0.0,6.0,,0.0,0.0,2.0,26.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,88.0,82.0,0.94,0.0,1.0,16.0,0.0,1.0,4.0,0.67,1.0,0.6,,86.0,310.0,0.0,6.0,17.0,5.0,99.0,86.0,11.0,25.0,115.0,0.0,11.0,,0.0,0.0,2.0,30.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,67.0,66.0,0.87,0.0,2.0,13.0,1.0,0.86,6.0,0.33,0.0,0.4,,,
value,4617331,1242,Super Rugby,2013,Result,82,Growthpoint Kings Park,3,Sharks,Stormers,311,314,2013-03-02T17:10:00+00:00,12,6,0,0,0,0,4,2,0,0,3,Regular Season,2024-02-15T16:02:47+00:00,79.0,258.0,0.0,2.0,15.0,3.0,93.0,79.0,14.0,13.0,142.0,0.0,10.0,,0.0,0.0,0.0,37.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,68.0,62.0,0.8,0.0,3.0,12.0,1.0,0.88,7.0,0.0,0.0,0.0,,103.0,434.0,0.0,2.0,13.0,3.0,113.0,103.0,19.0,15.0,100.0,0.0,13.0,,0.0,0.0,0.0,30.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,96.0,91.0,0.88,0.0,2.0,14.0,1.0,0.86,6.0,0.0,0.0,0.0,,,
value,4617376,1242,Super Rugby,2013,Result,80,Westpac Stadium,4,Hurricanes,Crusaders,299,305,2013-03-08T06:35:00+00:00,29,28,2,4,2,4,5,0,0,0,4,Regular Season,2024-02-15T16:02:00+00:00,119.0,495.0,0.0,7.0,15.0,12.0,185.0,119.0,17.0,18.0,112.0,0.0,3.0,,0.0,0.0,2.0,18.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,86.0,83.0,0.92,0.0,1.0,11.0,0.0,1.0,8.0,0.33,0.0,0.4,,114.0,448.0,0.0,10.0,20.0,12.0,178.0,114.0,16.0,15.0,133.0,0.0,11.0,,0.0,0.0,4.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,74.0,73.0,0.78,0.0,2.0,7.0,0.0,1.0,5.0,0.67,1.0,0.6,,,
value,4617385,1242,Super Rugby,2013,Result,80,AAMI Park,4,Rebels,Reds,53,767,2013-03-08T08:40:00+00:00,13,23,1,2,1,2,2,3,0,0,4,Regular Season,2024-02-15T16:02:04+00:00,94.0,196.0,0.0,3.0,14.0,7.0,147.0,94.0,21.0,18.0,149.0,0.0,7.0,,0.0,0.0,1.0,21.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,75.0,70.0,1.0,0.0,0.0,15.0,0.0,1.0,6.0,0.33,0.5,0.0,,128.0,402.0,0.0,4.0,18.0,15.0,134.0,128.0,17.0,14.0,106.0,0.0,9.0,,0.0,0.0,2.0,24.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,8.0,99.0,91.0,0.89,0.0,1.0,8.0,0.0,1.0,8.0,0.67,0.5,1.0,,,
value,4617394,1242,Super Rugby,2013,Result,80,Southland Rugby Park,4,Highlanders,Cheetahs,302,239,2013-03-09T06:35:00+00:00,19,36,3,3,2,3,0,5,0,0,4,Regular Season,2024-02-15T15:04:43+00:00,162.0,571.0,0.0,5.0,25.0,15.0,219.0,162.0,23.0,8.0,54.0,0.0,10.0,,0.0,0.0,2.0,13.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,120.0,113.0,0.93,0.0,1.0,14.0,0.0,1.0,9.0,0.5,0.25,1.0,,55.0,303.0,0.0,6.0,8.0,3.0,83.0,55.0,13.0,25.0,195.0,0.0,13.0,,0.0,0.0,3.0,22.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,40.0,37.0,1.0,0.0,0.0,7.0,1.0,0.9,9.0,0.5,0.75,0.0,,,
value,4617403,1242,Super Rugby,2013,Result,80,GIO Stadium Canberra,4,Brumbies,Waratahs,467,617,2013-03-09T08:40:00+00:00,35,6,4,0,3,0,3,2,0,0,4,Regular Season,2024-02-15T16:00:04+00:00,102.0,381.0,0.0,9.0,21.0,9.0,132.0,102.0,9.0,16.0,103.0,0.0,15.0,,0.0,2.0,3.0,23.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,76.0,74.0,0.85,0.0,2.0,11.0,0.0,1.0,7.0,1.0,1.0,1.0,,89.0,247.0,0.0,4.0,16.0,6.0,122.0,89.0,9.0,21.0,107.0,0.0,10.0,,0.0,1.0,0.0,14.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,69.0,66.0,0.87,0.0,3.0,20.0,2.0,0.67,4.0,0.0,0.0,0.0,,,
value,4617412,1242,Super Rugby,2013,Result,81,Newlands,4,Stormers,Chiefs,314,290,2013-03-09T15:05:00+00:00,36,34,3,4,3,4,5,2,0,0,4,Regular Season,2024-02-15T16:00:09+00:00,130.0,406.0,0.0,5.0,26.0,5.0,142.0,130.0,16.0,26.0,126.0,0.0,7.0,,0.0,0.0,3.0,21.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,97.0,93.0,0.93,0.0,1.0,14.0,0.0,1.0,5.0,0.43,0.5,0.33,,125.0,372.0,0.0,7.0,26.0,14.0,153.0,125.0,14.0,26.0,151.0,0.0,12.0,,0.0,2.0,4.0,21.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,86.0,83.0,0.69,0.0,4.0,9.0,0.0,1.0,3.0,0.57,0.5,0.67,,,
